Project name,ID,Country,Partners,Project type,Announcement,FID,Opertion,Suspension/decommissioning,Project Status,Project phase,Announced capacity (Mt CO2/yr),Estimated capacity by IEA (Mt CO2/yr),Sector,Fate of carbon,Part of CCUS hub,Region
3D DMX ArcelorMittal and IFPEN Dunkirk (full-scale),1,France,"ArcelorMittal, ifp, Axens, Uetikon, Grassco, brevik, TotalEnergies (T&S)",Capture,2019,,2025,,Planned,2,0.7,0.7,Iron and steel,Unknown/unspecified,,Europe
3D DMX ArcelorMittal and IFPEN Dunkirk 'REUZE',751,France,"ArcelorMittal, Engie, Infinium",CCU,2022,2024,2025,,Planned,1,0.3,0.3,Iron and steel,Use,,Europe
7 Blue Ammonia Facility,1055,Qatar,"QAFCO, thyssenkrupp Uhde/Consolidated Contractors Company (EPC)",Full Chain,2022,2022,2026,,Under construction,,1.5,1.5,Hydrogen or ammonia,Unknown/unspecified,,Middle East
8Rivers H2 (8RH2) (WY),3,United States,"8Rivers, Wyoming Energy Authority",Capture,2022,,,,Planned,,,,Hydrogen or ammonia,Dedicated storage,,North America
Abadi CCS/CCUS,227,Indonesia,"Inpex Masela 65%, Shell (trying to find a buyer for its shares), ITB (feasibility)",Full chain,2018,,2027,,Planned,,2.41,2.41,Natural gas processing/LNG,Unknown/unspecified,,Other Asia Pacific
Ackerman Combined Cycle Plant (MS),975,United States,"Trifecta Renewable Solutions, Tennessee Valley Authority",Capture,2023,,,,Planned,,1.8,1.8,Power and heat,Dedicated storage,Red Hills CO2 storage hub (MS),North America
Acorn CCS phase 1-Capture at St Fergus,7,United Kingdom,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",Capture,2016,2024,2028,,Planned,,0.3,0.3,Natural gas processing/LNG,Dedicated storage,Acorn CCS,Europe
Acorn CCS phase 1-T&S,8,United Kingdom,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",T&S,2016,2024,2028,,Planned,1,0.3 - 0.8,0.8,T&S,Dedicated storage,Acorn CCS,Europe
Acorn CCS phase 2,9,United Kingdom,"Storegga(30%), Shell (30%), Harbour (30%), North Sea Midstream partners (10%)",T&S,2017,,,,Planned,2,5,5,T&S,Dedicated storage,Acorn CCS,Europe
Acorn H2,10,United Kingdom,"Storegga, Chrysaor, Shell",Capture,2018,,2028,,Planned,,0.4,0.4,Hydrogen or ammonia,Dedicated storage,Acorn CCS,Europe
Acorn Isle of Grain to Peterhead shipping,1018,United Kingdom,"Acorn, Uniper",Transport,2023,,,,Planned,,2,2,Transport,Dedicated storage,Acorn CCS,Europe
Adams Fork Energy clean ammonia project (WV),1033,United States,"Adams Fork Energy, the Flandreau Santee Sioux Tribe",Capture,2022,2024,,,Planned,,,3.591,Hydrogen or ammonia,Unknown/unspecified,,North America
Adbri Project,11,Australia,"Adbri, CarbonTP, Heavy Industry Low Emissions Technology Co-Operative Research Centre",Capture,2021,,,,Planned,,,,Cement,Dedicated storage,South West Hub Project,Australia and New Zealand
ADM Cedar rapids bioethanol (IA),13,United States,ADM,Capture,2022,,,,Planned,,,,Biofuels,Dedicated storage,Mt Simon Hub CCS Pipeline (IA),North America
ADM Clinton bioethanol (IA),14,United States,ADM,Capture,2022,,,,Planned,,,,Biofuels,Dedicated storage,Mt Simon Hub CCS Pipeline (IA),North America
ADM Decatur Campus CO2 Storage Site Expansion (IL),816,United States,ADM,T&S,2022,,2028,,Planned,2,2.95,2.95,T&S,Dedicated storage,ADM Decatur Campus CO2 Storage Site Expansion (IL),North America
ADM Maroa/Forsyth CO2 Storage Site Development (IL),869,United States,ADM,Storage,2023,,2028,,Planned,,3.3,3.3,Storage,Unknown/unspecified,Maroa (IL),North America
ADNOC CO2 storage hub (Phase 2 of fertiglobe pilot),928,United Arab Emirates,ADNOC,Storage,2023,,2030,,Planned,2,5,5,Storage,Dedicated storage,ADNOC CO2 storage hub,Middle East
Advanced CO2 Capture from Hydrogen Production Unit at Phillips 66 Rodeo Refinery (CA),695,United States,Phillips 66,Capture,2021,,,,Planned,,0.19,0.19,Other fuel transformation,Unknown/unspecified,,North America
AEB Amsterdam,1144,Netherlands,AEB Amsterdam,CCU,2021,,2028,,Planned,,0.44,0.44,Power and heat,Use,,Europe
Aemetis CCS (CA),814,United States,Aemetis Carbon Capture (Aemetis),Storage,2021,,2024,,Planned,,1.4 - 2,1.4,Storage,Dedicated storage,Aemetis CCS,North America
Aemetis CCS Keyes facility (CA),15,United States,Aemetis,Capture,2021,,2024,,Planned,,0.2,0.2,Biofuels,Dedicated storage,Aemetis CCS,North America
Aemetis CCS Riverbank facility (CA),16,United States,Aemetis,Capture,2021,,2024,,Planned,,0.2,0.2,Biofuels,Dedicated storage,Aemetis CCS,North America
Air Liquide hydrogen facility Rotterdam,18,Netherlands,"Air Liquide (build, own, operate)",Capture,2012,2023,2026,,Under construction,,0.5,0.5,Other fuel transformation,Dedicated storage,Porthos,Europe
Air Liquide Shanghai Chemical Industry Park (SCIP) decarbonisation (Shanghai),541,People's Republic of China,SCIPIG (Air Liquide),Capture,2022,,2028,,Planned,,,,Hydrogen or ammonia,Unknown/unspecified,,Other Asia Pacific
Air Products for Exxonmobil Botlek Rotterdam refinery,150,Netherlands,"Exxonmobil, Air Products",Capture,2019,2023,2026,,Under construction,,,1.011,Other fuel transformation,Dedicated storage,Porthos,Europe
AirCapture DACU at Nutrien Kennewick Fertilizer (WA),21,United States,"AirCapture, Nutrien",CCU,2022,,,,Planned,,,,DAC,Use,,North America
AirCapture Nuclear DAC at JM Farley Nuclear (AL),22,United States,"Southern Company, Battelle, AirCapture LLC",Capture,2022,,,,Planned,,,,DAC,Dedicated storage,,North America
